RAW_PRODUCT, REAL_PRODUCT
Suave, Papel higiénico de doble hoja SUAVE Gentle care Paquete 16Un
Dove, 
Coca Cola, Gaseosa COCA COLA Botella 2.25L
Halls, Caramelos HALLS Fruit mix Envoltura 25.2Gr
pan, Pan BIMBO Slim blanco Bolsa 360Gr
leche, 
azucar, Azúcar BELL'S Blanca refinada Bolsa 1Kg
pilas, 
jugo de naranja, Néctar FRUGOS Naranja Caja 1L
Agua San Luis de litro, Agua de mesa SAN LUIS Sin gas Botella 1L
Coca Cola Zero, Gaseosa COCA COLA Zero Botella 2.25L
paquete de galletas Glacitas, 
paquete pequeño de tortees picantes, Piqueo FRITO LAY Tor-tees picante Bolsa 138Gr
sparkies, 
Shampoo, 
un champu jed an cholders, 
Pasta de dientes, 
un jabonsillo, 
cerveza, Cerveza PILSEN Botella 1Un 310Ml
un refresco, Refresco ARUBA Citrus punch Botella 500Ml
energizante, Bebida energizante RED BULL Lata 250Ml
1 sol de pan, Pan BIMBO Slim blanco Bolsa 360Gr
una jamonada chica, 
Yogurt con Linaza Gloria, Yogurt GLORIA ACTIBIO Fresa con linaza Paquete 6Un Botella 200Gr
yogurt gloria, Yogurt GLORIA Bebible fresa Botella 1Kg
Huevos, 
Detergente, Detergente en polvo ACE Regular Bolsa 2Kg
Galletas, 
gaeeosa, Gaseosa INCA KOLA Botella 2.25L
barra de halls, Caramelos HALLS Fruit mix Envoltura 25.2Gr
Pan, Pan BIMBO Slim blanco Bolsa 360Gr
Pasta dental, 
Vallealto Special Mix, 
Repuesto de ayudin, 
Leche, 
Helado, 
pan, Pan BIMBO Slim blanco Bolsa 360Gr
lata de guarana, Gaseosa GUARANÁ Antartica Lata 350Ml
Azucar, Azúcar BELL'S Blanca refinada Bolsa 1Kg
Azúcar, Azúcar BELL'S Blanca refinada Bolsa 1Kg
Agua San Mateo sin gas, Agua mineral SAN MATEO Sin gas Botella 600Ml
maní Karinto, 
Absolut vodka, Vodka ABSOLUT 100 Botella 750Ml
Yogurt, Yogurt GLORIA Bebible fresa Botella 1Kg
Pan, Pan BIMBO Slim blanco Bolsa 360Gr
galletas,  
enrrollado de cerdo, 
Gaseosa, Gaseosa INCA KOLA Botella 2.25L
Arroz, 
Cabanossi con queso en bolsa, 
galletas chips ahoy, 
Cigarros pallmal, Cigarros PALL MALL Blue Caja 20Un
Paneton, 
Café, 
papas lays, Piqueo FRITO LAY LAY'S CLÁSICA Hojuelas de papas fritas Bolsa 185Gr
Leche, 
Agua, Agua de mesa SAN LUIS Sin gas Botella 625Ml
Cerveza Pilsen, Cerveza PILSEN Botella 1Un 310Ml
Ron cartavio black barrel, Ron CARTAVIO Black barrel Botella 750Ml
Papel higenico, Papel higienico doble hoja ELITE Hoja ultra Paquete 4Un
tallarines, 
inca kola mediana, Gaseosa INCA KOLA Botella 500Ml
Leche, 
caja de jugo de naranja laive, Néctar LAIVE Naranja Caja 1L
six pack de cerveza pilsen,	Cerveza PILSEN Paquete 6Un Botella 310Ml
vodka absolut, Vodka ABSOLUT 100 Botella 750Ml
papas fritas lays, Piqueo FRITO LAY LAY'S CLÁSICA Hojuelas de papas fritas Bolsa 185Gr
vino queirolo, Vino SANTIAGO QUEIROLO Gran Borgoña Botella 750Ml
te verde, 
Pan, Pan BIMBO Slim blanco Bolsa 360Gr
Gaseosa, Gaseosa INCA KOLA Botella 2.25L
Cigarros, Cigarros HAMILTON Light Caja 20Un
Leche, 
pan, Pan BIMBO Slim blanco Bolsa 360Gr
papas al hilo, Piqueo FRITO LAY LAY'S AL HILO Papas fritas crocantes al hilo Bolsa 155Gr
gaseosa, Gaseosa INCA KOLA Botella 2.25L
granola,
barras de cereal,
pan, Pan BIMBO Slim blanco Bolsa 360Gr
chicolac jr,
dento, 
